,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,closed_date,response_time,day_of_week,hour,location_latitude,location_longitude,location_human_address
272,64958373,2025-05-15 23:58:20,DSNY,Department of Sanitation,Dirty Condition,Trash,Gutter,10471,5695 RIVERDALE AVENUE,RIVERDALE AVENUE,ADDRESS,BRONX,In Progress,,,08 BRONX,2059530015,BRONX,1010741,269613,ONLINE,Unspecified,BRONX,40.90665901022121,-73.90416438140132,WEST  258 STREET,WEST  259 STREET,WEST  258 STREET,WEST  259 STREET,RIVERDALE AVENUE,,,Thursday,23,40.90665901022121,-73.90416438140132,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
273,64953775,2025-05-15 23:58:16,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,2394 LORILLARD PLACE,LORILLARD PLACE,ADDRESS,BRONX,In Progress,,2025-05-16T02:25:36.000,06 BRONX,2030540064,BRONX,1014852,251240,ONLINE,Unspecified,BRONX,40.856217584028826,-73.88937610642152,3 AVENUE,EAST  187 STREET,3 AVENUE,EAST  187 STREET,LORILLARD PLACE,,,Thursday,23,40.856217584028826,-73.88937610642152,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
274,64957348,2025-05-15 23:58:06,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,846 MONROE STREET,MONROE STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2025-05-16T00:08:53.000,03 BROOKLYN,3014810026,BROOKLYN,1005786,190200,PHONE,Unspecified,BROOKLYN,40.688705634083135,-73.92234459511964,RALPH AVENUE,HOWARD AVENUE,RALPH AVENUE,HOWARD AVENUE,MONROE STREET,2025-05-16 00:08:49,0.1786111111111111,Thursday,23,40.688705634083135,-73.92234459511964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
275,64960860,2025-05-15 23:57:58,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11433,107-71 159 STREET,159 STREET,ADDRESS,JAMAICA,In Progress,,2025-05-16T01:41:37.000,12 QUEENS,,QUEENS,1041350,192711,ONLINE,Unspecified,QUEENS,40.69543974243949,-73.7940854856159,107 AVENUE,108 AVENUE,107 AVENUE,108 AVENUE,159 STREET,,,Thursday,23,40.69543974243949,-73.7940854856159,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
276,64962641,2025-05-15 23:57:56,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,10471,5695 RIVERDALE AVENUE,RIVERDALE AVENUE,ADDRESS,BRONX,In Progress,,,08 BRONX,2059530015,BRONX,1010741,269613,ONLINE,Unspecified,BRONX,40.90665901022121,-73.90416438140132,WEST  258 STREET,WEST  259 STREET,WEST  258 STREET,WEST  259 STREET,RIVERDALE AVENUE,,,Thursday,23,40.90665901022121,-73.90416438140132,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
277,64955724,2025-05-15 23:57:52,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11105,22-27 33 STREET,33 STREET,ADDRESS,ASTORIA,Closed,The Police Department responded to the complaint and took action to fix the condition.,2025-05-16T00:49:43.000,01 QUEENS,4008320020,QUEENS,1009099,221573,ONLINE,Unspecified,QUEENS,40.774808089520434,-73.91028258555102,DITMARS BOULEVARD,AMTRAK-CONNECTING RAIL LINE,DITMARS BOULEVARD,AMTRAK-CONNECTING RAIL LINE,33 STREET,2025-05-16 00:49:39,0.8630555555555556,Thursday,23,40.774808089520434,-73.91028258555102,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
278,64958558,2025-05-15 23:57:45,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10027,449 WEST  125 STREET,WEST  125 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2025-05-16T00:19:40.000,09 MANHATTAN,1019660046,MANHATTAN,996519,235375,ONLINE,Unspecified,MANHATTAN,40.81271725522785,-73.95567750031833,MORNINGSIDE AVENUE,AMSTERDAM AVENUE,MORNINGSIDE AVENUE,AMSTERDAM AVENUE,WEST  125 STREET,2025-05-16 00:19:36,0.3641666666666667,Thursday,23,40.81271725522785,-73.95567750031833,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
279,64954959,2025-05-15 23:57:42,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,11693,14-09 CROSS BAY BOULEVARD,CROSS BAY BOULEVARD,ADDRESS,FAR ROCKAWAY,In Progress,,,14 QUEENS,4153190037,QUEENS,1034210,158976,ONLINE,Unspecified,QUEENS,40.60288787644855,-73.82008360613005,WEST   14 ROAD,WEST   15 ROAD,WEST   14 ROAD,WEST   15 ROAD,CROSS BAY BOULEVARD,,,Thursday,23,40.60288787644855,-73.82008360613005,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
280,64959935,2025-05-15 23:57:28,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10030,162 WEST  144 STREET,WEST  144 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2025-05-16T00:31:05.000,10 MANHATTAN,1020120058,MANHATTAN,1001116,238303,PHONE,Unspecified,MANHATTAN,40.820746211868745,-73.93906320797221,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,WEST  144 STREET,2025-05-16 00:31:01,0.5591666666666667,Thursday,23,40.820746211868745,-73.93906320797221,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
281,64952029,2025-05-15 23:57:22,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10473,CLASON POINT PARK,CLASON POINT PARK,UNRECOGNIZED,BRONX,In Progress,,,09 BRONX,2034350075,BRONX,1026151,232830,PHONE,Unspecified,BRONX,40.80564109840562,-73.84864614328704,DEAD END,HORIZON LANE,DEAD END,HORIZON LANE,CLASON POINT PARK,,,Thursday,23,40.80564109840562,-73.84864614328704,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
282,64956672,2025-05-15 23:57:15,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,50-25 64 STREET,64 STREET,ADDRESS,WOODSIDE,In Progress,,2025-05-16T01:22:36.000,02 QUEENS,4023400012,QUEENS,1011451,207658,ONLINE,Unspecified,QUEENS,40.736608056917454,-73.90184698115968,50 AVENUE,51 AVENUE,50 AVENUE,51 AVENUE,64 STREET,,,Thursday,23,40.736608056917454,-73.90184698115968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
283,64960664,2025-05-15 23:56:56,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11206,31 LEONARD STREET,LEONARD STREET,ADDRESS,BROOKLYN,In Progress,,2025-05-16T01:29:45.000,01 BROOKLYN,3030770001,BROOKLYN,999205,195869,ONLINE,Unspecified,BROOKLYN,40.70427928492746,-73.94606204457612,MOORE STREET,BOERUM STREET,MOORE STREET,BOERUM STREET,LEONARD STREET,,,Thursday,23,40.70427928492746,-73.94606204457612,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
284,64952493,2025-05-15 23:56:56,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,510 EAST  188 STREET,EAST  188 STREET,ADDRESS,BRONX,In Progress,,2025-05-16T01:35:37.000,06 BRONX,2030570026,BRONX,1014743,251874,PHONE,Unspecified,BRONX,40.85795810005104,-73.8897672485953,WASHINGTON AVENUE,BATHGATE AVENUE,WASHINGTON AVENUE,BATHGATE AVENUE,EAST  188 STREET,,,Thursday,23,40.85795810005104,-73.8897672485953,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
285,64953011,2025-05-15 23:56:42,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11354,39-12 MAIN STREET,MAIN STREET,ADDRESS,FLUSHING,Closed,N/A,2025-05-16T00:00:14.000,07 QUEENS,4049760003,QUEENS,1031231,216248,ONLINE,Unspecified,QUEENS,40.760102448984256,-73.83041228444763,39 AVENUE,ROOSEVELT AVENUE,39 AVENUE,ROOSEVELT AVENUE,MAIN STREET,2025-05-16 00:00:12,0.058333333333333334,Thursday,23,40.760102448984256,-73.83041228444763,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
286,64958761,2025-05-15 23:56:39,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,100 ATTORNEY STREET,ATTORNEY STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-05-16T00:25:35.000,03 MANHATTAN,1003430001,MANHATTAN,988560,201003,ONLINE,Unspecified,MANHATTAN,40.71838248220487,-73.98445190462277,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,ATTORNEY STREET,2025-05-16 00:25:32,0.48138888888888887,Thursday,23,40.71838248220487,-73.98445190462277,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
287,64956597,2025-05-15 23:56:34,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10003,25 SAINT MARKS PLACE,SAINT MARKS PLACE,ADDRESS,NEW YORK,In Progress,,2025-05-16T01:07:06.000,03 MANHATTAN,1004640047,MANHATTAN,987429,204861,MOBILE,Unspecified,MANHATTAN,40.72897223623396,-73.98853010446419,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ST MARKS PLACE,,,Thursday,23,40.72897223623396,-73.98853010446419,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
288,64961986,2025-05-15 23:56:33,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11374,98-60 67 AVENUE,67 AVENUE,ADDRESS,REGO PARK,In Progress,,2025-05-16T00:55:38.000,06 QUEENS,4031680036,QUEENS,1024508,203614,ONLINE,Unspecified,QUEENS,40.72545848805658,-73.85475592376037,WETHEROLE STREET,BOOTH STREET,WETHEROLE STREET,BOOTH STREET,67 AVENUE,,,Thursday,23,40.72545848805658,-73.85475592376037,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
289,64962979,2025-05-15 23:56:28,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10002,133 PITT STREET,PITT STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2025-05-16T00:24:58.000,03 MANHATTAN,1003450058,MANHATTAN,989361,201675,ONLINE,Unspecified,MANHATTAN,40.72022653396981,-73.98156182961009,STANTON STREET,AVENUE C,STANTON STREET,AVENUE C,PITT STREET,2025-05-16 00:24:54,0.4738888888888889,Thursday,23,40.720226533969814,-73.98156182961009,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
290,64952818,2025-05-15 23:55:46,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,28 EAST   13 STREET,EAST   13 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2025-05-16T00:09:50.000,02 MANHATTAN,1005700019,MANHATTAN,986215,206982,MOBILE,Unspecified,MANHATTAN,40.73479421388142,-73.99290962127736,5 AVENUE,UNIVERSITY PLACE,5 AVENUE,UNIVERSITY PLACE,EAST   13 STREET,2025-05-16 00:09:45,0.23305555555555554,Thursday,23,40.73479421388142,-73.99290962127736,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
291,64952109,2025-05-15 23:55:45,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11691,14-02 BAYPORT PLACE,BAYPORT PLACE,ADDRESS,FAR ROCKAWAY,Closed,The Police Department issued a summons in response to the complaint.,2025-05-16T00:13:09.000,14 QUEENS,,QUEENS,1053168,160316,ONLINE,Unspecified,QUEENS,40.606438734098056,-73.751798530922,AUGUSTINA AVENUE,VILLAGE LANE,AUGUSTINA AVENUE,VILLAGE LANE,BAYPORT PLACE,2025-05-16 00:13:05,0.28888888888888886,Thursday,23,40.606438734098056,-73.751798530922,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
292,64962253,2025-05-15 23:55:18,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11415,84-31 130 STREET,130 STREET,ADDRESS,KEW GARDENS,In Progress,,,09 QUEENS,4092510009,QUEENS,1033401,196192,ONLINE,Unspecified,QUEENS,40.705041972038,-73.82272574921907,KEW GARDENS ROAD,HILLSIDE AVENUE,KEW GARDENS ROAD,HILLSIDE AVENUE,130 STREET,,,Thursday,23,40.705041972038,-73.82272574921907,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
293,64957415,2025-05-15 23:55:07,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10003,15 1/2 EAST   12 STREET,EAST   12 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2025-05-16T00:18:55.000,02 MANHATTAN,1005700038,MANHATTAN,986001,206804,ONLINE,Unspecified,MANHATTAN,40.734305692685474,-73.99368185133945,5 AVENUE,UNIVERSITY PLACE,5 AVENUE,UNIVERSITY PLACE,EAST   12 STREET,2025-05-16 00:18:51,0.39555555555555555,Thursday,23,40.734305692685474,-73.99368185133945,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
294,64962305,2025-05-15 23:55:00,DOT,Department of Transportation,Traffic Signal Condition,Controller,Unknown,11215,Unknown,,INTERSECTION,BROOKLYN,Open,,,07 BROOKLYN,,BROOKLYN,990549,178328,UNKNOWN,Unspecified,BROOKLYN,40.65614361808263,-73.97729789273369,,,11 AVENUE,PROSPECT AVENUE,,,,Thursday,23,40.65614361808263,-73.97729789273369,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
295,64958027,2025-05-15 23:54:57,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11414,153-18 79 STREET,79 STREET,ADDRESS,HOWARD BEACH,In Progress,,,10 QUEENS,4114400016,QUEENS,1024468,181723,MOBILE,Unspecified,QUEENS,40.66537304026836,-73.85503094300894,153 AVENUE,155 AVENUE,153 AVENUE,155 AVENUE,79 STREET,,,Thursday,23,40.66537304026836,-73.85503094300894,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
296,64953663,2025-05-15 23:54:46,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10457,555 EAST  178 STREET,EAST  178 STREET,ADDRESS,BRONX,In Progress,,2025-05-16T01:36:17.000,06 BRONX,2030610036,BRONX,1013441,248058,ONLINE,Unspecified,BRONX,40.84748872272396,-73.89449061342629,MONTEREY AVENUE,LAFONTAINE AVENUE,MONTEREY AVENUE,LAFONTAINE AVENUE,EAST  178 STREET,,,Thursday,23,40.84748872272396,-73.89449061342629,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
297,64956644,2025-05-15 23:54:38,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10302,12 LAFORGE PLACE,LAFORGE PLACE,ADDRESS,STATEN ISLAND,In Progress,,2025-05-16T01:55:35.000,01 STATEN ISLAND,5011040033,STATEN ISLAND,945136,169503,PHONE,Unspecified,STATEN ISLAND,40.63183677799384,-74.1409187455533,BURDEN AVENUE,LAFORGE AVENUE,BURDEN AVENUE,LAFORGE AVENUE,LAFORGE PLACE,,,Thursday,23,40.63183677799384,-74.1409187455533,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
298,64955728,2025-05-15 23:54:26,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11206,253 BUSHWICK AVENUE,BUSHWICK AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2025-05-16T00:48:21.000,01 BROOKLYN,3030640027,BROOKLYN,1000949,196975,MOBILE,Unspecified,BROOKLYN,40.7073118741198,-73.9397692472213,MONTROSE AVENUE,JOHNSON AVENUE,MONTROSE AVENUE,JOHNSON AVENUE,BUSHWICK AVENUE,2025-05-16 00:48:18,0.8977777777777778,Thursday,23,40.7073118741198,-73.9397692472213,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
299,64956250,2025-05-15 23:54:21,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11206,67 MANHATTAN AVENUE,MANHATTAN AVENUE,ADDRESS,BROOKLYN,In Progress,,2025-05-16T01:12:46.000,01 BROOKLYN,3030780001,BROOKLYN,999631,196022,ONLINE,Unspecified,BROOKLYN,40.70469850361665,-73.94452524823974,SEIGEL STREET,MC KIBBIN STREET,SEIGEL STREET,MC KIBBIN STREET,MANHATTAN AVENUE,,,Thursday,23,40.70469850361665,-73.94452524823974,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
300,64958677,2025-05-15 23:54:11,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11436,129-06 145 STREET,145 STREET,ADDRESS,JAMAICA,Closed,The Police Department issued a summons in response to the complaint.,2025-05-16T00:45:50.000,12 QUEENS,4120690127,QUEENS,1041376,183908,PHONE,Unspecified,QUEENS,40.67127741305974,-73.7940663552655,129 AVENUE,130 AVENUE,129 AVENUE,130 AVENUE,145 STREET,2025-05-16 00:45:47,0.86,Thursday,23,40.67127741305974,-73.7940663552655,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
301,64956564,2025-05-15 23:54:09,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10467,197 EAST MOSHOLU PARKWAY NORTH,EAST MOSHOLU PARKWAY NORTH,ADDRESS,BRONX,In Progress,,2025-05-16T01:54:55.000,07 BRONX,,BRONX,1017027,258097,MOBILE,Unspecified,BRONX,40.87503014419482,-73.88148011901029,VAN CORTLANDT AVENUE EAST,EAST  206 STREET,VAN CORTLANDT AVENUE EAST,EAST  206 STREET,EAST MOSHOLU PARKWAY NORTH,,,Thursday,23,40.875030144194824,-73.88148011901029,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
302,64959348,2025-05-15 23:54:05,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10465,1649 BAYSHORE AVENUE,BAYSHORE AVENUE,ADDRESS,BRONX,In Progress,,2025-05-16T02:46:27.000,10 BRONX,2054170176,BRONX,1035046,248026,MOBILE,Unspecified,BRONX,40.84730303560574,-73.81640086096316,AMPERE AVENUE,WATT AVENUE,AMPERE AVENUE,WATT AVENUE,BAY SHORE AVENUE,,,Thursday,23,40.84730303560574,-73.81640086096316,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
303,64958739,2025-05-15 23:54:03,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11237,44 WILSON AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-05-16T00:18:50.000,04 BROOKLYN,3031570031,BROOKLYN,1003829,195325,ONLINE,Unspecified,BROOKLYN,40.70277711007218,-73.92938632693719,GEORGE STREET,MELROSE STREET,GEORGE STREET,MELROSE STREET,WILSON AVENUE,2025-05-16 00:18:46,0.41194444444444445,Thursday,23,40.70277711007218,-73.92938632693719,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
304,64962710,2025-05-15 23:53:48,NYPD,New York City Police Department,Drinking,In Public,Street/Sidewalk,10454,496 EAST  138 STREET,EAST  138 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2025-05-16T00:14:15.000,01 BRONX,2022650004,BRONX,1006482,233571,PHONE,Unspecified,BRONX,40.80774632375112,-73.91969155462807,BROWN PLACE,BROOK AVENUE,BROWN PLACE,BROOK AVENUE,EAST  138 STREET,2025-05-16 00:14:10,0.33944444444444444,Thursday,23,40.80774632375112,-73.91969155462807,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
305,64962007,2025-05-15 23:53:44,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11230,1641 OCEAN AVENUE,OCEAN AVENUE,ADDRESS,BROOKLYN,In Progress,,2025-05-16T02:41:10.000,14 BROOKLYN,3076200014,BROOKLYN,996551,165911,PHONE,Unspecified,BROOKLYN,40.622055308707566,-73.95568883815213,AVENUE K,AVENUE L,AVENUE K,AVENUE L,OCEAN AVENUE,,,Thursday,23,40.622055308707566,-73.95568883815213,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
